x1,x2,y
0.075,0.09375,-0.7108022373630007
0.075,0.1,-0.7046511944624687
0.1,0.0,-0.800195
0.1,0.00625,-0.7936805598219625
0.1,0.0125,-0.787228075296354
0.1,0.018750000000000003,-0.7808395695596503
0.1,0.025,-0.7744817857403462
0.1,0.03125,-0.7681998336656892
0.1,0.037500000000000006,-0.7619369601341003
0.1,0.04375,-0.7557174574781719
0.1,0.05,-0.7495262004319359
0.1,0.05625,-0.7433534346473294
0.1,0.0625,-0.7372020338234875
0.1,0.06875,-0.7310632381592019
0.1,0.07500000000000001,-0.7249242949384622
0.1,0.08125,-0.7187858505005794
0.1,0.0875,-0.7126351797927832
0.1,0.09375,-0.7064719572901291
0.1,0.1,-0.7003014235226925
0.125,0.0,-0.7951694
0.125,0.00625,-0.7887727025528825
0.125,0.0125,-0.7824275808504848
0.125,0.018750000000000003,-0.7761586209221772
0.125,0.025,-0.7699065954788702
0.125,0.03125,-0.7637246236195164
0.125,0.037500000000000006,-0.7575487453085925
0.125,0.04375,-0.7514178413951104
0.125,0.05,-0.745305180103903
0.125,0.05625,-0.7391951642173534
0.125,0.0625,-0.7331000952672677
0.125,0.06875,-0.7269870341129772
0.125,0.07500000000000001,-0.7208701267445279
0.125,0.08125,-0.7147420516522303
0.125,0.0875,-0.7085878850135515
0.125,0.09375,-0.7024086831730474
0.125,0.1,-0.6962006342969639
0.15,0.0,-0.7902888
0.15,0.00625,-0.784070304050352
0.15,0.0125,-0.7778852232627513
0.15,0.018750000000000003,-0.7717584438989424
0.15,0.025,-0.7656501988990413
0.15,0.03125,-0.7595720150162707
0.15,0.037500000000000006,-0.7535089870594088
0.15,0.04375,-0.7474661118553683
0.15,0.05,-0.7414089480752429
0.15,0.05625,-0.7353413180675734
0.15,0.0625,-0.7292688564019127
0.15,0.06875,-0.7231600231004444
0.15,0.07500000000000001,-0.7170289901963233
0.15,0.08125,-0.7108640910501439
0.15,0.0875,-0.7046517739778098
0.15,0.09375,-0.6984086996547442
0.15,0.1,-0.6921177066818723
0.175,0.0,-0.7858304
0.175,0.00625,-0.7797758740151017
0.175,0.0125,-0.773752948168133
0.175,0.018750000000000003,-0.7677479244431212
0.175,0.025,-0.7617352125182821
0.175,0.03125,-0.7557441178115267
0.175,0.037500000000000006,-0.7497295486029704
0.175,0.04375,-0.7437082504163538
0.175,0.05,-0.7376464012837163
0.175,0.05625,-0.7315573001307999
0.175,0.0625,-0.7254152759480015
0.175,0.06875,-0.7192247311090076
0.175,0.07500000000000001,-0.7129757780064649
0.175,0.08125,-0.7066780211526744
0.175,0.0875,-0.7003156581732929
0.175,0.09375,-0.6938826762234842
0.175,0.1,-0.6873991702567216
0.2,0.0,-0.7817564
0.2,0.00625,-0.7758135034178096
0.2,0.0125,-0.7698555624719962
0.2,0.018750000000000003,-0.7638887015377553
0.2,0.025,-0.7578826141541107
0.2,0.03125,-0.7518623794552622
0.2,0.037500000000000006,-0.7457798207140173
0.2,0.04375,-0.7396568929922231
0.2,0.05,-0.7334593053700916
0.2,0.05625,-0.7271972135273178
0.2,0.0625,-0.7208595550260022
0.2,0.06875,-0.7144374188712218
0.2,0.07500000000000001,-0.7079306231680872
0.2,0.08125,-0.7013487976430646
0.2,0.0875,-0.6946790127083997
0.2,0.09375,-0.6879161413609335
0.2,0.1,-0.6810689691105282
0.225,0.0,-0.777629
0.225,0.00625,-0.7716532850460521
0.225,0.0125,-0.7656237042518724
0.225,0.018750000000000003,-0.7595353909553004
0.225,0.025,-0.7533744609330827
0.225,0.03125,-0.7471522975435997
0.225,0.037500000000000006,-0.7408352316680371
0.225,0.04375,-0.7344296269310232
0.225,0.05,-0.7279173013789643
0.225,0.05625,-0.72129802433918
0.225,0.0625,-0.7145710091791914
0.225,0.06875,-0.7077386962522645
0.225,0.07500000000000001,-0.700797129464282
0.225,0.08125,-0.6937384309576549
0.225,0.0875,-0.6865736538684909
0.225,0.09375,-0.6793063933009289
0.225,0.1,-0.6719306256454296
0.25,0.0,-0.772623
0.25,0.00625,-0.7664161415565732
0.25,0.0125,-0.7601031371220744
0.25,0.018750000000000003,-0.7536983185878536
0.25,0.025,-0.7471629215123146
0.25,0.03125,-0.7405233543541098
0.25,0.037500000000000006,-0.7337505958842717
0.25,0.04375,-0.7268586576066944
0.25,0.05,-0.719824700469565
0.25,0.05625,-0.7126488974453603
0.25,0.0625,-0.7053622767115221
0.25,0.06875,-0.6979195745294728
0.25,0.07500000000000001,-0.6903597704800613
0.25,0.08125,-0.6826562053167605
0.25,0.0875,-0.6748502483543756
0.25,0.09375,-0.6669193683110257
0.25,0.1,-0.6588844855852556
0.275,0.0,-0.7656034
0.275,0.00625,-0.7589317234100579
0.275,0.0125,-0.7521079199523767
0.275,0.018750000000000003,-0.7451438229418934
0.275,0.025,-0.7380209912318195
0.275,0.03125,-0.730757303553101
0.275,0.037500000000000006,-0.7233283529811304
0.275,0.04375,-0.7157584991770976
0.275,0.05,-0.7080207291169255
0.275,0.05625,-0.7001287809281206
0.275,0.0625,-0.6921021976514491
0.275,0.06875,-0.6839151459903916
0.275,0.07500000000000001,-0.6756155809110062
0.275,0.08125,-0.6671792483006229
0.275,0.0875,-0.6586311270317835
0.275,0.09375,-0.6499763224392661
0.275,0.1,-0.6412329486264723
0.3,0.0,-0.7553414
0.3,0.00625,-0.7479864205721442
0.3,0.0125,-0.7404404873922872
0.3,0.018750000000000003,-0.7327351042166547
0.3,0.025,-0.724839804031987
0.3,0.03125,-0.7167838567961593
0.3,0.037500000000000006,-0.7085463089168688
0.3,0.04375,-0.7001611728668882
0.3,0.05,-0.6916259171947388
0.3,0.05625,-0.6829250275489159
0.3,0.0625,-0.6741039816477815
0.3,0.06875,-0.6651477638638172
0.3,0.07500000000000001,-0.6560826078958448
0.3,0.08125,-0.6469244151044725
0.3,0.0875,-0.6376822201904693
0.3,0.09375,-0.628365615085927
0.3,0.1,-0.6189966782905263
0.325,0.0,-0.7407984
0.325,0.00625,-0.732601579398381
0.325,0.0125,-0.7242063426776033
0.325,0.018750000000000003,-0.7156473185108843
0.325,0.025,-0.7068835796917277
0.325,0.03125,-0.69798089758256
0.325,0.037500000000000006,-0.6889030689424696
